word,definition,translation
babbler,n. any of various insectivorous Old World birds with a loud incessant song; in some classifications considered members of the family Muscicapidae,"n. 说话模糊不清者, 胡说之人"
babblers,plural of babbler\nn. any of various insectivorous Old World birds with a loud incessant song; in some classifications considered members of the family Muscicapidae,"(babbler 的复数) n.说话模糊不清者, 胡说之人"
babbles,"n gibberish resembling the sounds of a baby\nv utter meaningless sounds, like a baby, or utter in an incoherent way\nv to talk foolishly\nv flow in an irregular current with a bubbling noise\nv divulge confidential information or secrets",n. 胡言乱语( babble的名词复数 ); 听不清的声音; 乱哄哄的说话声\nv. 喋喋不休( babble的第三人称单数 ); 作潺潺声（如流水）; 含糊不清地说话; 泄漏秘密
babbling,"n gibberish resembling the sounds of a baby\nv utter meaningless sounds, like a baby, or utter in an incoherent way\nv to talk foolishly\nv flow in an irregular current with a bubbling noise\nv divulge confidential information or secrets",n. 胡说；婴儿发出的咿哑声
babblings,"plural of babbling\nn gibberish resembling the sounds of a baby\nv utter meaningless sounds, like a baby, or utter in an incoherent way\nv to talk foolishly\nv flow in an irregular current with a bubbling noise\nv divulge confidential information or secrets",(babbling 的复数) n. 胡说；婴儿发出的咿哑声
babbo,,n. (Babbo)人名；(意)巴博
babbs,,n. (Babb)人名；(法)巴布；(英)芭布
babby,,芭比（女子名）
Babcock,,n. 巴布科克（美国发明家）；巴高克（美国公司名称）
babcock and wilcox boiler,,[机] 巴布克苦式锅炉
babcock bute,,[机] 巴布科克管
Babcock flask,,[化] 巴布科克测乳油瓶
Babcock tube,,[化] 巴布科克管
Babcock's bottle,,[医] 巴布科克氏乳脂瓶(测乳中的脂肪)
Babcock's needle,,[医] 巴布科克氏椎管针(脊髓穿刺用)
Babcock's operation,,[医] 巴布科克氏手术(静脉瘤治疗术)
Babcock's test,,[医] 巴布科克氏试验(检乳脂)
Babcock-Levy test,,[医] 巴-雷二氏试验(智力测验)
babe,n a very young child (birth to 1 year) who has not yet begun to walk or talk\nn (slang) sometimes used as a term of address for attractive young women,"n. 小孩, 天真幼稚的人"
Babe Didrikson,,[网络] 迪德里克森
babe in arms,,"怀中的婴儿;涉世未深的人,初出茅庐者"
babe in the woods,,易受骗上当的人
babe of love,,私生子
Babe Ruth,,巴比·鲁斯（美国棒球运动员）
Babe Zaharias,,[网络] 萨哈蕾亚斯；扎哈里亚斯；贝贝-萨哈蕾亚斯
babee,,n. = Babi
babeerinemethine,,[机] 贝比碱甲块
babees,plural of babee,(babee 的复数) n. = Babi
Babel,n. a confusion of voices and other sounds,n. 巴别(基督教<<圣经>>中的城市名)
babelism,,n. 混乱
baber,,巴贝尔\n巴韦尔\n巴伯（人名）
babers,,巴贝尔\n巴韦尔\n巴伯（人名）
babes,n. a very young child (birth to 1 year) who has not yet begun to walk or talk\nn. (slang) sometimes used as a term of address for attractive young women,n. <书>婴儿( babe的复数形式 ); 无助的人; 需要人抱的婴儿; <美俚>姑娘
babes and sucklings,,"天真的孩子们, 单纯的人们"
Babes' sign,,[医] 巴贝斯氏征(腹主动脉瘤的体征)
