word,definition,translation
boating,n. water travel for pleasure,n. 划船
boatlift,, 偷运
boatlike,,a. boat的变形
boatload,n. the amount of cargo that can be held by a boat or ship or a freight car,"n. 船的载货量, 一条船的货物"
boatloads,plural of boatload\nn. the amount of cargo that can be held by a boat or ship or a freight car,"(boatload 的复数) n. 船的载货量, 一条船的货物"
boatman,n. someone who drives or rides in a boat,"n. 出租船者, 船夫"
boatmanship,n. The art of managing a boat.,n. 操船技术; 船艺
boatmen,n someone who drives or rides in a boat,n. 船夫( boatman的名词复数 )
boatner,, [人名] 博特纳
boatnik,,"[口]水上人家, 船户"
boatolad,,"船的载货量,一条船的货物"
boatpan,,[化] 舟皿
boatrace,,n. 赛舟
boatright,, [人名] 博特赖特
boats,n a small vessel for travel on water\nn a dish (often boat-shaped) for serving gravy or sauce\nv ride in a boat on water,n. 船艇；船（boat的复数）
boatsman,n. A boatman.,"n. 船工, 船夫, 船员"
boatswain,n. a petty officer on a merchant ship who controls the work of other seamen,n. 水手长
boatswain bird,,= tropic bird [亦作  boatswain-bird]
boatswain's chair,, （高空作业用的）吊椅
boatswains,n. a petty officer on a merchant ship who controls the work of other seamen,n. 水手长( boatswain的复数形式 )
boattail,,船形尾部
boatwright,,n. 造木船的匠人\nn. (Boatwright)人名；(英)博特赖特
boatwrights,,n. 造木船的匠人\nn. (Boatwright)人名；(英)博特赖特
boatyard,n. a place where boats are built or maintained or stored,n. 船坞；造船厂
boatyards,plural of boatyard\nn. a place where boats are built or maintained or stored,(boatyard 的复数) n. 船坞；造船厂
Boaugard's paste,,[医] 布加尔氏糊(一种腐蚀性糊剂)
boaventura,, [地名] [巴西、葡萄牙] 博阿文图拉
Boaz,,"n. 波阿斯(基督教《圣经·路得记》故事人物,Ruth之夫)"
bob,"n. a hair style for women and children; a short haircut all around\nn. a hanging weight, especially a metal ball on a string\nn. a small float usually made of cork; attached to a fishing line\nn. a short abrupt inclination (as of the head)","vt. 剪短, 敲击\nvi. 振动, 上下跳动\nn. 短发, 悬挂的饰品, 浮子, 摆动, 轻敲, 5便士"
bob about,,[网络] 鲍勃关于
bob around,,飘忽游荡
Bob Dylan,,鲍勃·迪伦（美国歌手）
Bob Fosse,,n. 鲍勃·福斯
Bob Hope,,鲍勃·霍普（美国喜剧演员）
Bob Marley,,鲍勃·马利
Bob Mathias,,[网络] 鲍勃·马赛厄斯；岁选手马赛亚斯；十项运动名将马赛亚斯
bob to sb,,向某人行屈膝礼
bob under,,[网络] 鲍勃下
bob up,,突然出现
bob up like a cock,,"东山再起,卷土重来,挽回颓势"
bob up like a cork,,东山再起
bob wig, A short wig with bobs or short curls; -- called also bobtail\n   wig.,短而卷曲的假发
Bob Woodward,,[网络] 伍德沃德；记者伍德沃德；记者伍华德
bob-sleigh,,n. 雪橇
bob-sleighs,plural of bob-sleigh,(bob-sleigh 的复数) n. 雪橇
boba,,"n. (Boba)人名；(罗、塞)博芭(女名), 博巴；(刚(金)、英)博巴"
bobac,n. The Poland marmot (Arctomys bobac)., 土拨鼠
bobachee,,n. <印英>男厨师
Bobadil,,"吹牛大王, 说大话的人(作家 Ben Johnson 的作品 Every Man in His Humour 《人各有癖》中的人物)"
Bobadilla,,n. (Bobadilla)人名；(西)博瓦迪利亚
bobak,,n. = bobac(k)
bobatorium,,[美](=barber's shop)专剪短发型的理发店
bobb,,n. (Bobb)人名；(冈、德)鲍勃
bobbe,,n. (Bobbe)人名；(德)博贝
bobbed,v move up and down repeatedly\nv ride a bobsled\nv remove or shorten the tail of an animal\nv make a curtsy; usually done only by girls and women; as a sign of respect\nv cut hair in the style of a bob,a. 剪短的
bobber,n a small float usually made of cork; attached to a fishing line,n. 浮子
bobbers,,n. 浮子；钓鱼用的浮标\nn. (Bobber)人名；(英)鲍伯
bobbery,"n. A squabble; a tumult; a noisy disturbance; as, to raise a\n   bobbery.","n. 大骚乱, 骚动"
bobbi,,芭比（人名）
bobbie,,"n. 博比（女子名, 等于Barbara, Roberta）；博比（男子名, 等于Bob）"
bobbies,n. an informal term for a British policeman,n. <英俚>警察( bobby的复数形式 )
bobbin,n. a winder around which thread or tape or film or other flexible materials can be wound,"n. 线轴, 缠线板, 缠线管\n[电] 卷线轴"
bobbin core,,[电] 卷线轴心
bobbin dyeing,,[机] 筒染
bobbin lace,, 梭结花边
bobbin oil,,[化] 锭子油
bobbin paper,,[化] 纱管纸
bobbin seal,,[化] 套管密封
bobbin spinning,,[化] 筒管纺丝
bobbiner,,粗纱机
bobbinet,"n. A kind of cotton lace which is wrought by machines, and\n   not by hand.",n. 六角网眼纱
bobbing,v move up and down repeatedly\nv ride a bobsled\nv remove or shorten the tail of an animal\nv make a curtsy; usually done only by girls and women; as a sign of respect\nv cut hair in the style of a bob,[电] 标记干扰性移动
bobbings,plural of bobbing\nv move up and down repeatedly\nv ride a bobsled\nv remove or shorten the tail of an animal\nv make a curtsy; usually done only by girls and women; as a sign of respect\nv cut hair in the style of a bob,(bobbing 的复数) [电] 标记干扰性移动
bobbinite,,(矿山用)筒管[硫胺]炸药
bobbins,n. a winder around which thread or tape or film or other flexible materials can be wound,"n. 线轴, 绕线筒( bobbin的复数形式 )"
bobbio,, [地名] [意大利] 博比奥
bobbish,a. Hearty; in good spirits.,"a. 高兴的, 快活的, 活泼的"
bobbitt,,n. (Bobbitt)人名；(英)博比特\n博比特（人名）
bobbitts,,博比特（人名）\nn. (Bobbitt)人名；(英)博比特
bobble,n. the momentary juggling of a batted or thrown baseball,"n. 在篮圈上跳动, 漏接, 漏踢, 失误"
bobbled,"v make a mess of, destroy or ruin","v. 漏接, 弄坏( bobble的过去式和过去分词 )"
bobblehead,, 摇头娃娃
bobbles,"n the momentary juggling of a batted or thrown baseball\nv make a mess of, destroy or ruin","n. 轻摇, 失误( bobble的名词复数 )\nv. 漏接, 弄坏( bobble的第三人称单数 )"
bobbling,"v make a mess of, destroy or ruin","v. 漏接, 弄坏( bobble的现在分词 )"
bobbly,,"a. <口>跳动的, 不平的, 圆块状的"
bobbs,,n. (Bobbs)人名；(英)鲍勃斯
Bobbs's operation,,[医] 鲍勃斯氏手术(胆囊切开取石术)
bobby,n. an informal term for a British policeman,n. 警察
Bobby Fischer,,n. 鲍比·菲舍尔
Bobby Jones,,[网络] 鲍比琼斯
Bobby Moore,,n. 博比·摩尔
Bobby Orr,,n. 鲍比·奥尔
bobby pin,,n. 发夹
bobby socks,, <美><口>（女孩穿的）短袜
bobby sox,,短袜
bobby-dazzler,,n. 华而不实的东西
bobby-socker,n an adolescent girl wearing bobby socks (common in the 1940s),n. 少女
bobby-soxer,,n. 少女
bobbys,,"博比(男子名)[Robert 的昵称]；博比(女子名)[Barbara 和 Roberta 的昵称,亦作 Bobbie]"
bobbysock,,n. 女装短袜
bobbysocks,, <美口>短袜（尤指少女穿的）
bobbysoxer,n an adolescent girl wearing bobby socks (common in the 1940s),n. 十三岁至十九岁的少女
bobcat,n. small lynx of North America,"n. 红猫, 短尾猫"
bobcats,plural of bobcat\nn. small lynx of North America,"(bobcat 的复数) n. 红猫, 短尾猫"
bobe,,n. (Bobe)人名；(德、罗、塞、匈)博贝；(法)博布
bobeche,," 蜡座, 烛台托盘"
bobeches,,烛台托盘
bobek,, [人名] 博贝克
bober,,n. 鲍勃（姓氏）
boberg,,n. (Boberg)人名；(德、西、挪、英)博贝格；(丹)博贝尔；(瑞典)博贝里
Bobette,,n. 博贝特(f.)
bobfloat,,n. [垂钓]浮子
bobfly,n. The fly at the end of the leader; an end fly., 漂浮假蝇
bobi,,n. (Bobi)人名；(西)博维；(罗、刚(金))博比
bobied oil,,[机] 聚合油
bobierite,,[化] 白磷镁石
bobierrite,,白磷镁石
bobily,,adv. 全体
boblet,,n. 双人雪橇
bobo,,n. 新中产阶级；年老却比较富裕的人
bobo-dioulasso,, [地名] [布基纳法索] 博博迪乌拉索
Bobol,,[意]博波尔(粘胶短纤维)
bobolink,n. migratory American songbird,n. 长刺歌雀
bobolinks,,n. 食米鸟（产于北美）
bobonaro,, [地名] [东帝汶] 博博纳罗
bobos,,n. 波波族（Bobo的复数）
bobotie,,n. <南非>咖喱肉末(一种菜肴)
bobroff,, [人名] 博布罗夫
Bobroff's operation,,"[医] 鲍布罗夫氏手术(脊柱裂成形术,肝囊肿内膜剥离和切除术)"
bobrovkite,,高镍铁矿
bobrow,,n. (Bobrow)人名；(英)博布罗
bobs,"n a former monetary unit in Great Britain\nn a hair style for women and children; a short haircut all around\nn a long racing sled (for 2 or more people) with a steering mechanism\nn a hanging weight, especially a metal ball on a string\nn a small float usually made of cork; attached to a fishing line\nn a short or shortened tail of certain animals\nn a short abrupt inclination (as of the head)\nv move up and down repeatedly\nv ride a bobsled\nv remove or shorten the tail of an animal\nv make a curtsy; usually done only by girls and women; as a sign of respect\nv cut hair in the style of a bob",n. 一串或一束；悬挂物；短发；上下摆动（bob的复数形式）
bobsled,n. formerly two short sleds coupled together\nn. a long racing sled (for 2 or more people) with a steering mechanism\nv. ride a bobsled,n. 长橇
bobsledder,,n. 雪橇运动员
bobsledders,,n. bobsled的变形
bobsledding,n riding on a bobsled,"n. 乘大雪橇, 滑大雪橇运动(或比赛)"
bobsleds,n. formerly two short sleds coupled together\nn. a long racing sled (for 2 or more people) with a steering mechanism\nv. ride a bobsled,n. 长橇( bobsled的复数形式 )
bobsleigh,n formerly two short sleds coupled together\nn a long racing sled (for 2 or more people) with a steering mechanism,n. 长橇
bobsleighing,-ing form of bobsleigh\nn formerly two short sleds coupled together\nn a long racing sled (for 2 or more people) with a steering mechanism,(bobsleigh 的现在分词) n. 长橇
bobsleighs,n. formerly two short sleds coupled together\nn. a long racing sled (for 2 or more people) with a steering mechanism,n. 长橇( bobsleigh的复数形式 )
bobst,,博布斯特(人名)
bobstay,n. A rope or chain to confine the bowsprit of a ship downward\n   to the stem or cutwater; -- usually in the pl.,n. 船头斜桅支索
bobtail,n. a short or shortened tail of certain animals\ns. having a short or shortened tail,"n. 短尾, 截短的尾, 截尾的动物\na. 截短尾巴的, 缩略的"
bobtail pool,,[经] 拼凑的合伙经营
bobtailed,"a. Having the tail cut short, or naturally short;\n   curtailed; as, a bobtailed horse or dog; a bobtailed coat.",n. 短尾；截尾的动物；截短的尾巴\na. 截尾的；剪短的
bobtails,plural of bobtail\nn. a short or shortened tail of certain animals\ns. having a short or shortened tail,"(bobtail 的复数) n. 短尾, 截短的尾, 截尾的动物\na. 截短尾巴的, 缩略的"
bobtown,, [地名] [美国] 鲍勃敦
bobweight,,"配重, 平衡锤, 秤锤, 铅锤"
bobwhite,n. a popular North American game bird; named for its call,n. 山齿鹑
bobwhite quail,,[网络] 北美鹑；鹌鹑
bobwhites,,n. 美洲鹑（鹑的一种）
bobwig,,n. 短而拳曲的假发
boby,,n. 波比（品牌名）
BOC,,abbr. 中国银行（Bank of China Limited）
BOC Isomax,,[化] 埃索麦克斯法渣油加氢脱硫
boca,,abbr. 国际职业建筑人员与法规管理人员联合会
Boca Raton,,n. 波卡拉顿（位于美国福罗里达州棕榈滩县）
bocaccio,,n. [鱼](褐)菖鲉( 产于美国加利福尼亚州沿岸)
bocage,,(陶瓷艺术品的)树木花草背景
bocardo,"n. A form of syllogism of which the first and third\n   propositions are particular negatives, and the middle term a universal\n   affirmative.\nn. A prison; -- originally the name of the old north gate in\n   Oxford, which was used as a prison.",n. (Bocardo)人名；(西)博卡尔多
bocas,plural of boca,(boca 的复数) abbr. 国际职业建筑人员与法规管理人员联合会
bocasin,,一种细麻布
bocasine,n. A sort of fine buckram., 优质重浆织物
bocca,n. The round hole in the furnace of a glass manufactory through\n   which the fused glass is taken out.,小锥体
Boccaccio,n. Italian poet (born in France) (1313-1375),"卜伽丘(Giovanni, 1313-1375, 文艺复兴时期意大利作家, 《十日谈》的作者)"
boccardi,, [人名] 博卡尔迪
boccaro,,宜兴陶瓷
boccas,plural of bocca\nn. The round hole in the furnace of a glass manufactory through\n   which the fused glass is taken out.,(bocca 的复数) 小锥体
boccassini,,博卡西尼漂白细薄纱
bocce,n. Italian bowling played on a long narrow dirt court,n. ( 意大利式) 室外地滚球戏
bocce ball,,地掷球
Boccherini,,波开里尼（人名）
bocchi,,n. (Bocchi)人名；(西、意)博基
bocci,n. Italian bowling played on a long narrow dirt court,n. 意大利式草地滚木球戏
bocci ball,,[网络] 室外地滚球
boccia,,n. ( 意大利式) 室外地滚球戏
boccie,n Italian bowling played on a long narrow dirt court,n. ( 意大利式) 室外地滚球戏
boccie ball,,[网络] 布希球；地掷球；博西球
boccioni,,n. (Boccioni)人名；(意)博乔尼
bocconcini,,小马萨尼拉芝士
Bocconia,n herb of China and Japan widely cultivated for its plumelike panicles of creamy white flowers\nn small Central American tree having loose racemes of purple-tinted green flowers,[医] 孛功树属
Bocconia cordata,,[医] 博落回
bocconine,,博落回碱
boce,"n. A European fish (Box vulgaris), having a compressed body and\n   bright colors; -- called also box, and bogue.",abbr. Board of Customs and Excise <美国>关税和国内税务局
bocelli,,n. (Bocelli)人名；(意)博切利
boces,,abbr. Bell Operating Company (美国)贝尔电话经营公司；British Oxygen Company 英国氧气公司
boch,,abbr. Beijing Overseas Chinese Hotel 北京华侨饭店
bochco,, [人名] 博奇科
Bochdalek's duct,,[医] 甲状舌管
Bochdalek's foramen,,"[医] 博赫达勒克氏孔, 胸腹裂孔, 膈裂"
Bochdalek's ganglia,,[医] 博赫达勒克氏神经节(上牙槽神经前支与中支结合部的膨大)
Bochdalek's ganglion,,[医] 博赫达勒克氏神经节(上牙槽神经前支与中支结合部的膨大)
Bochdalek's glands,,[医] 博赫达勒克氏腺(舌囊肿)
Bochdalek's muscle,,"[医] 博赫达勒克氏肌, 杓舌肌(喉杓状软骨至舌之肌)"
Bochdalek's pseudoganglion,,[医] 博赫达勒克氏假神经节(颌下神经节)
Bochdalek's tubes,,[医] 博赫达勒克氏管(甲状舌管的盲管)
Bochdalek's valve,,[医] 博赫达勒克氏瓣(泪点襞)
Bochdalek's valves,,[医] 博赫达勒克氏瓣(泪点襞)
Boche,n offensive term for a person of German descent,"n. 德国人, 德国兵\na. 德国佬的"
bocher,,[贬义]\nn. (尤指第一次世界大战中的)德国兵；德国佬\nadj. 德国兵的；德国佬的
boches,plural of boch,(boch 的复数) abbr. Beijing Overseas Chinese Hotel 北京华侨饭店
bochicchio,, [人名] 博基基奥
bochner,,n. (Bochner)人名；(德)博赫纳；(英)博克纳
Bochum,,波鸿[德意志联邦共和国西部城市]
bock,n. a very strong lager traditionally brewed in the fall and aged through the winter for consumption in the spring,"n. 德国黑啤酒, 一杯啤酒"
bock beer,, 烈性黑啤酒，一杯（黑）啤酒
Bock's ganglia,,"[医] 博克氏神经节, 颈动脉神经节"
Bock's ganglion,,"[医] 博克氏神经节, 颈动脉神经节"
Bock's nerve,,[医] 咽神经
Bock-Benedict's method,,[医] 博-本二氏法(检总氮)
Bockhart's impetigo,,[医] 博克哈特氏脓疱病
bocking,"n. A coarse woolen fabric, used for floor cloths, to cover\n   carpets, etc.; -- so called from the town of Bocking, in England, where\n   it was first made.",n. 博金粗毛呢
bockius,,n. (Bockius)人名；(德)博基乌斯；(英)博基厄斯
bocks,,n. 一杯啤酒；烈性黑啤酒\nn. (Bock)人名；(英、德、西、葡、罗、捷、瑞典、匈)博克；(东南亚国家华语)木
bockscar,,n. 博克斯卡（轰炸机名）
bockting,, [人名] 博克廷
bockus,,n. (Bockus)人名；(英)博克斯
Bockwurst,,[德]猪肉及小牛肉制成的趁热食用的小香肠
bocky,,葫芦(瓢)
boco,,杯蟹(中美及南美西岸一种蟹子)
bocon,,加勒比海的的一种(尤指印尼常见的一种鲸)
bocs,,abbr. Bell Operating Company (美国)贝尔电话经营公司；British Oxygen Company 英国氧气公司
BOD,n alternative names for the body of a human being,[化] 生化需氧量
BOD moderator,,[化] 生化需氧量缓和剂
BOD ultimate,,[化] 最终生化需氧量
boda,, [地名] [中非共和国] 博达; [地名] [瑞典] 布达
bodacious,s. incorrigible,a. 胆大包天的
bodaciously,,adv. bodacious的变形
Bodal's test,,[医] 彩方试验(检色觉)
Bodal's tset,,[医] 彩方试验(检色觉)
bodansky,, [人名] 博丹斯基
Bodansky unit,,[医] 博丹斯基氏单位(一种磷酸酶效能单位)
Bodanskyl's method,,[医] 博丹斯基氏法(检血清磷酸酶)
bodden,,[德]海湾
boddhisattva,,n. 菩萨
Boddhisatva,,[网络] 在那又添加了菩萨
boddie,,n. (Boddie)人名；(英)博迪
Boddies,plural of Boddy,(Boddy 的复数) n. (Boddy)人名；(英、法)博迪
Boddington,,n. (Boddington)人名；(英)博丁顿
boddingtons,,n. (Boddington)人名；(英)博丁顿
Boddy,,n. (Boddy)人名；(英、法)博迪
Boddys,plural of Boddy,(Boddy 的复数) n. (Boddy)人名；(英、法)博迪
bode,v. indicate by signs,v. 预示\nbide的过去式
bode diagram,,[电] 伯德图
bode ill,,"预示恶兆,主兇"
bode well,,"预示吉兆,主吉"
Bodecker index,,[医] 博德克氏指数(一种龋齿指数)
boded,imp. & p. p. of Bode,"v. 预示, 预告, 预言( bode的过去式和过去分词 ); 等待, 停留( bide的过去分词 ); 居住; （过去式用bided）等待"
bodeful,a. Portentous; ominous.,"a. 预兆的, 不祥的"
bodega,n. a small Hispanic shop selling wine and groceries,"n. 酒窖, 酒店"
bodegas,plural of bodega\nn. a small Hispanic shop selling wine and groceries,"(bodega 的复数) n.酒窖, 酒店"
bodement,n. An omen; a prognostic.,n. 预兆
Boden,,"n. 博登（人名, 地名）\nn. （德语）地面"
bodenite,,伯顿石
bodenplatte,,[医] 神经管底板
Bodensee,n a lake in southeastern Germany on the northern side of the Swiss Alps; forms part of the Rhine River,博登湖
bodenstein,,n. (Bodenstein)人名；(德)博登施泰因
Bodenstein number,,[化] 波登斯坦数
bodes,v indicate by signs,"v. 预示, 预告, 预言( bode的第三人称单数 ); 等待, 停留( bide的过去分词 ); 居住; （过去式用bided）等待"
bodge,"v make a mess of, destroy or ruin",v. 修补
bodged,imp. & p. p. of Bodge,v. 修补( bodge的过去式和过去分词 )
bodger,, 撬杆
bodgers,plural of bodger,(bodger 的复数)  撬杆
bodges,"v make a mess of, destroy or ruin",v. 修补( bodge的第三人称单数 )
bodgie,,n. <澳新>无赖青年
bodging,"v make a mess of, destroy or ruin",v. 修补( bodge的现在分词 )
Bodh Gaya,,菩提伽耶（地名）
bodhi,,"tree 菩提树(佛教的圣树,相传佛祖在此树下得道成佛)"
bodhi tree,,菩提树
Bodhidharma,,"菩提达摩(印度僧人,中国佛教禅宗的始祖)"
bodhisat,,[宗]菩萨
Bodhisattva,n. Buddhist worthy of nirvana who postpones it to help others,n. 菩萨
bodhisattvas,,n. 菩萨
bodhisatva,,n. 菩萨
bodhran,,n. 宝思兰鼓(爱尔兰的一种山羊皮鼓)
bodhrans,plural of bodhran,(bodhran 的复数) n.宝思兰鼓(爱尔兰的一种山羊皮鼓)
bodi,,n. (Bodi)人名；(法、西、意、罗、塞)博迪
bodian,"n. A large food fish (Diagramma lineatum), native of the East\n   Indies.", [人名] 博迪恩
Bodian method staining,,[医] 博迪恩氏胶体银染色法(染神经纤维和神经末梢)
bodice,n. part of a dress above the waist,n. 女服的紧身上衣
bodice ripper,,"n. （以旧时生活为背景的）情色电影, 艳情小说"
bodice-ripper,, （以旧时生活为背景的）情色小说（或电影）
bodice-ripping,,"adj. bodice ripper, bodice buster的变形"
bodiced,a. Wearing a bodice.,n. 【纺织业】；女连衣裙的上身
bodices,n. part of a dress above the waist,"n. 妇女连衣裙的上身, 妇女紧身马甲, 妇女紧身胸衣( bodice的复数形式 )"
Bodie,,n. (Bodie)人名；(英)博迪\n博迪（英格兰人姓氏）\nBody的变体
bodied,a. having a body or a body of a specified kind; often used in combination\ns. possessing or existing in bodily form,a. 有形的；有躯体的
bodies,"n the entire structure of an organism (an animal, plant, or human being)\nn a group of persons associated by some common tie or occupation and regarded as an entity\nn a natural object consisting of a dead animal or person\nn an individual 3-dimensional object that has mass and that is distinguishable from other objects\nn the body excluding the head and neck and limbs\nn a collection of particulars considered as a system\nn the property of holding together and retaining its shape\nn the central message of a communication\nn the main mass of a thing\nn a resonating chamber in a musical instrument (as the body of a violin)\nn the external structure of a vehicle\nv invest with or as with a body; give body to",n. （文章、文件等的）正文；（人或动物的）身体；主体部分（body的复数）
bodies Highmore's,,"[医] 海默尔氏体, 睾丸纵隔"
bodies of Arantius,,"[医] 阿朗希乌斯氏体, 半月瓣结"
bodies of fornix,,[医] 穹窿体
bodies of Retzius,,[医] 雷济厄斯氏体(柯替氏器毛细胞下部有色素颗粒的原生质团)
bodies of the pancreas,,[医] 胰[腺]体
bodik,,马来米酒
bodiless,s. having no trunk or main part,a. 无躯体的
bodily,a. of or relating to or belonging to the body\ns. affecting or characteristic of the body as opposed to the mind or spirit\ns. having or relating to a physical material body\nr. in bodily form,a. 身体的\nadv. 亲自
bodily cavity,,[网络] 身体腔
bodily fluid,,体液
bodily function,,n. 人体生理功能；（尤指）人体排泄功能
bodily harm,,[法] 身体伤害
bodily injury,,[法] 身体伤害
bodily maltreatment,,[法] 身体虐待
bodily movement,,[医] 整体移动
bodily process,,[网络] 身体过程
bodily property,,[网络] 身体财产
bodily punishment,,[法] 体罚
bodily structure,,[网络] 身体结构
bodily trusion,,[医] 全牙错位
bodily-kinesthetic,,肢体动觉\n身体运动
Bodin,,博丁（人名）
bodine,,n. (Bodine)人名；(英)博丁；(瑞典)博迪内
bodines,-s form of bodine,(bodine 的第三人称 -s形式) n. (Bodine)人名；(英)博丁；(瑞典)博迪内
bodiness,,"加重, 加厚, 增稠"
boding,n a feeling of evil to come\nv indicate by signs,"a. 凶兆的, 预兆的\nn. 凶兆, 前兆, 预感"
bodkin,n. formerly a long hairpin; usually with an ornamental head\nn. a small sharp-pointed tool for punching holes in leather or fabric\nn. a blunt needle for threading ribbon through loops,"n. 大眼粗针, 锥子"
bodkins,n. a dagger with a slender blade\nn. formerly a long hairpin; usually with an ornamental head\nn. a small sharp-pointed tool for punching holes in leather or fabric,"n. 锥子, 刺针；长发夹；大眼粗针\nn. (Bodkin)人名；(英、意)博德金"
bodle,n. A small Scotch coin worth about one sixth of an English\n   penny., [人名] 博德尔
bodleian,"a. Of or pertaining to Sir Thomas Bodley, or to the\n   celebrated library at Oxford, founded by him in the sixteenth century.",n. 牛津大学图书馆 \na. 牛津大学图书馆的
Bodley,,n. <口>=Bodleian
bodman,,n. (Bodman)人名；(英、法、德、西、瑞典)博德曼
bodmer,, [人名] 博德默
Bodmin,,博德明[英国苏格兰西南部城市](康沃尔郡和锡利群岛的首府)
bodner,, [人名] 博德纳
Bodo,,"[医] 波陀虫属, 胞滴虫属"
Bodo caudatus,,[医] 尾状波陀虫
Bodo saltans,,[医] 跳跃波陀虫
Bodo urinaria,,[医] 尿波陀虫
bodock,n. The Osage orange.,n. [美国英语]【植物】桑橙 (= Osage orange)[亦作 bodark]
bodoh,,[网络] 笨蛋；愚蠢；愚笨
Bodoni,n Italian printer who designed the Bodoni font (1740-1813)\nn a typeface (based on an 18th century design by Gianbattista Bodoni) distinguished by regular shape and hairline serifs and heavy downstrokes,n. 博多尼活字字体(意大利印刷家 G. Bodoni 所设计的一种现代活字字体)
Bodoni font,,[网络] Bodoni字体
Bodonidae,,"[医] 波陀虫科, 双鞭虫科"
bodrum,, [地名] [土耳其] 博德鲁姆
bods,n. alternative names for the body of a human being,n. 人( bod的复数形式 )
body,"n. the entire structure of an organism (an animal, plant, or human being)\nn. a group of persons associated by some common tie or occupation and regarded as an entity\nn. a natural object consisting of a dead animal or person\nn. an individual 3-dimensional object that has mass and that is distinguishable from other objects","n. 身体, 人, 尸体, 主要部分, 团体\nvt. 赋以形体\n[计] 体"
body acid,,[机] 主份酸
body and soul,, 全心全意
body armor,,[医] [防火]护身服
body armour,,"n. （军人、警察等穿的）防弹衣, 防护服"
body bag,,n. 带有拉链的装尸袋
body blow,,"n. 重击, 惨败"
body build index,,[医] 体格指数
body capacitance,,[计] 体电容
body case,,"[计] 壳体, 外壳"
body cavity,,[医] 体腔
body centered lattice,,[化] 体心点格
body check,," （冰球）身体阻截, 用身体贴人或挤人"
body clearance,,[机] 钻体空隙
body clock,,"n. [医]身体钟, 生理节奏"
body cords,,[化] 帘布层
body core,,"[机] 主心型, 主砂心"
body corporate,,法人团体\n[经] 法人团体
body count,, 敌尸计数；死亡人数统计
body covering,, 身体外层
body current,,[电] 主体电流
body double,,n. 替身
body electrodes,,[电] 人体电极
body English,,身体语言
body Fluid,,[医] 体液
body force,,[化] 体力; 彻体力
body forth,,象征
body group,,[计] 主体栏
body guard,,[法] 保镖
body hair,, [医]体毛
body heat regulation,,[医] 体温调节
body height,,[医] 身高
body image,,[医] 体像
body image agnosia,,[医] 体形认识不能
body language,,"n. 身体语言, 手势语言（由手势或姿态无意中传递的讯息）, 肢体语言"
body length,, 身长
body lotion,,n. 身体乳
body louse,,"[医] 体虱, 衣虱"
body mass index,, [医]体重指数
body material,,[化] 釜体材料
body matter,,[计] 正文内容
body mechanics,,[医] 躯体力学
body odor,,"n. 体臭, 汗臭, 狐臭"
body odour,,"n. 体臭, 汗臭, 狐臭"
body of coal,,[机] 煤的主体
body of cracking stock,,[机] 裂化原料的主体
body of deed,,[法] 契据主文
body of evidence,,[法] 一些证据
body of laws,,"[法] 法的体系, 法规录编"
body of Luys syndrome,,"[医] 吕伊斯氏体综合征, 丘脑下部核综合征"
body of oil,,"[机] 油基, 润滑油的底质"
body of paint,,[机] 油漆的稠度
body of persons,,[法] 社团
body of plane,,[机] 刨体
body of sea water,,[经] 海水水域
body of the offense,,[法] 罪体
body of water,, 贮水池; 水域
body of work,,[网络] 作品体；工作体系
body of workmen,,[经] 工人团体
body pad,,[网络] 身体护垫；身体感应垫
body paper,,[机] 底纸
body part,, [医]身体部分
body persecution,,"[法] 身体迫害, 身体虐待"
body piercing,,n. 人体穿孔艺术
body pigment,,[机] 底质颜料
body plethysmograph,, 躯体容积描记器
body politic,,n. 国家（指在一个政府领导下组成一个政治集团的人民）
body press,, 压躯干
body process,,[网络] 车身工艺
body rocking,,[医] 身体[前后]摇摆
body search,,n. 搜身
body section radiography,,"[医] 体层X线照相术, 断层X线照相术"
body section roentgenography,,"[医] 体层X线照相术, 断层X线照相术"
body segment,,[医] 体节
body sense,,[医] 躯体觉
body servant,, 贴身侍女
body shirt,,n. 紧身衬衫
body shop,,n. 车身修理厂
body size,,[计] 字体大小
body slam,, [体]抱举对手重摔
body snatcher,,盗尸人\n[法] 盗尸人
body snatching,,"[医] 偷盗死尸, 偷尸"
body stalk,,[医] 体蒂
body statement,,[计] 本体语句
body stock,,"[机] 原纸, 纸坯"
body stocking,,n. 上下相连的紧身衣裤
body structure,,车身结构
body stub,,[计] 体存根
body substance,,[网络] 身体物质
body suit,,女式紧身衣裤
body swerve,, [体]身体晃动
body temperature,,[医] 体温
body tube,,[机] 镜筒
body type,,[医] 体型
body up,,[化] 加重; 加厚; 增加体积; 增稠
body wall,, 体壁
body warmer,, （户外穿的）无袖厚夹克
body waste,, 物质损耗
body weight,,[医] 体重
body-bag,,带有拉链的运尸袋
body-bags,plural of body-bag,(body-bag 的复数) 带有拉链的运尸袋
body-blow,,n. 严重的挫折
body-blows,plural of body-blow,(body-blow 的复数) n. 严重的挫折
body-build,,体格
body-builder,,"n. 滋补的食物, 锻炼肌肉使之发达的器械"
body-builders,plural of body-builder,"(body-builder 的复数) n. 滋补的食物, 锻炼肌肉使之发达的器械"
body-building,,n. 健美运动；加强体质
body-care,,身体护理
body-cavity,,[动] 体腔
body-centered,, 体心的
body-centered cubic lattice,,[机] 泥体心立方格子
body-centered grating,,[机] 体心(式结晶)格子
body-centered lattice,,[机] 体心板子
body-centred,,a. 体心的
